sourceOccurrenceId	sourceTaxonId	sourceTaxonName	sourceBodyPartId	sourceBodyPartName	sourceLifeStageId	sourceLifeStageName	interactionTypeId	interactionTypeName	targetOccurrenceId	targetTaxonId	targetTaxonName	targetBodyPartId	targetBodyPartName	targetLifeStageId	targetLifeStageName	localityId	localityName	decimalLatitude	decimalLongitude	observationDateTime	referenceDoi	referenceUrl	referenceCitation
		Acanthocystidae					RO:0002437	interacts with			Planomonadidae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2019
		Acanthocystidae					RO:0002437	interacts with			Thioprofundaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2020
		Acanthocystidae					RO:0002437	interacts with			Burkholderiaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2021
		Acanthocystidae					RO:0002437	interacts with			Nitrosomonadaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2022
		Acanthocystidae					RO:0002437	interacts with			Melioribacteraceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2023
		Acanthocystidae					RO:0002437	interacts with			Sphingomonadaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2024
		Acanthoecidae					RO:0002437	interacts with			Caulobacteraceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2025
		Acanthoecidae					RO:0002437	interacts with			Mopaliidae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2026
		Acanthoecidae					RO:0002437	interacts with			Sabellariidae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2027
		Acanthoecidae					RO:0002437	interacts with			Phyllobacteriaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2028
		Acanthoecidae					RO:0002437	interacts with			Erythrotrichiaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2029
		Acanthoecidae					RO:0002437	interacts with			Chlorodendraceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2030
		Acanthoecidae					RO:0002437	interacts with			Delesseriaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2031
		Acanthoecidae					RO:0002437	interacts with			Desulfobulbaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2032
		Achnanthaceae					RO:0002437	interacts with			Rhagidiidae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2033
		Achnanthaceae					RO:0002437	interacts with			Ulotrichaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2034
		Achnanthaceae					RO:0002437	interacts with			Monostromataceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2035
		Achnanthaceae					RO:0002437	interacts with			Parvularculaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2036
		Achnanthaceae					RO:0002437	interacts with			Chilodochonidae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2037
		Achnanthaceae					RO:0002437	interacts with			Calanidae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2038
		Achnanthaceae					RO:0002437	interacts with			Pyrenomonadaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2039
		Actiniidae					RO:0002437	interacts with			Palmariaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2040
		Actiniidae					RO:0002437	interacts with			Ulvellaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2041
		Actiniidae					RO:0002437	interacts with			Paracalanidae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2042
		Actiniidae					RO:0002437	interacts with			Ignavibacteriaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2043
		Actiniidae					RO:0002437	interacts with			Lagenidiaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2044
		Actiniidae					RO:0002437	interacts with			Peronosporaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2045
		Actiniidae					RO:0002437	interacts with			Erythrotrichiaceae						Pillar Point					www.ucedna.com	Meyer R.S., et al., Beach environmental DNA fills gaps in photographic biomonitoring to track spatiotemporal community turnover across 82 phyla. Environmental DNA, submitted June 3, 2046
